Is_ma,Av,Slew_Rate 
0.025,2.0,0.14558972506941728
0.05,2.0,0.27539258434556824
0.1,2.0,0.4924385085317124
0.2,2.0,0.797143585742363
0.3,2.0,0.975967863337478
0.4,2.0,1.0879333093280734
0.5,2.0,1.1539033888133967
0.6,2.0,1.203285606059906
0.7,2.0,1.224319994229631
0.8,2.0,1.2474657588562774
0.9,2.0,1.2637946662398674
1.0,2.0,1.2668840480013015
1.1,2.0,1.2761760573249943
1.2,2.0,1.2822398852349155
1.3,2.0,1.2786670326595109
1.4,2.0,1.280842518260315
1.5,2.0,1.2857286782255335
1.6,2.0,1.2946561652184791
1.7,2.0,1.2897331444673386
1.8,2.0,1.2903768162391762
1.9,2.0,1.293620981583295
2.0,2.0,1.2830200365749083
0.025,4.0,0.27164839179892375
0.05,4.0,0.4833700697837986
0.1,4.0,0.7810974215431843
0.2,4.0,1.0901509699332712
0.3,4.0,1.2365157457119398
0.4,4.0,1.3159882309639188
0.5,4.0,1.3576912458716859
0.6,4.0,1.3902898182080758
0.7,4.0,1.4076006140827242
0.8,4.0,1.4243603205096076
0.9,4.0,1.4268182586776132
1.0,4.0,1.437694154875382
1.1,4.0,1.4331444465076137
1.2,4.0,1.437430835370353
1.3,4.0,1.435233999257854
1.4,4.0,1.4363826228877379
1.5,4.0,1.4364035499664347
1.6,4.0,1.4341397680980237
1.7,4.0,1.430009611479564
1.8,4.0,1.4290994595460993
1.9,4.0,1.4192995022622281
2.0,4.0,1.4175044422613308
0.025,6.0,0.38099834435345636
0.05,6.0,0.6436413041461799
0.1,6.0,0.9646210962940495
0.2,6.0,1.247283863937559
0.3,6.0,1.3705218872430804
0.4,6.0,1.429062829737351
0.5,6.0,1.4681487970196272
0.6,6.0,1.48634190066936
0.7,6.0,1.495657573381386
0.8,6.0,1.5101832972833036
0.9,6.0,1.510608895157481
1.0,6.0,1.5174758088905933
1.1,6.0,1.5158179938003649
1.2,6.0,1.511059369189098
1.3,6.0,1.5130668794886304
1.4,6.0,1.505578181984787
1.5,6.0,1.4987569596711556
1.6,6.0,1.499612188041791
1.7,6.0,1.4938604539774503
1.8,6.0,1.4891008249779174
1.9,6.0,1.4864921499509396
2.0,6.0,1.4778090167157403
0.025,8.0,0.47606683695392654
0.05,8.0,0.7691411743170166
0.1,8.0,1.091227075153358
0.2,8.0,1.352865141958448
0.3,8.0,1.4517904400092432
0.4,8.0,1.500995707402816
0.5,8.0,1.5324676168320235
0.6,8.0,1.545682459528135
0.7,8.0,1.5538794080253295
0.8,8.0,1.5614084237672774
0.9,8.0,1.5620192521571075
1.0,8.0,1.5576234741105424
1.1,8.0,1.562020752866194
1.2,8.0,1.555918958143182
1.3,8.0,1.5507036308107969
1.4,8.0,1.54621470544576
1.5,8.0,1.5470418124289511
1.6,8.0,1.5404264348350856
1.7,8.0,1.5308367568902455
1.8,8.0,1.5300126248322574
1.9,8.0,1.5245945342579594
2.0,8.0,1.5158751246323943
0.025,10.0,0.5606121024230317
0.05,10.0,0.8723888836415636
0.1,10.0,1.1864995544228838
0.2,10.0,1.4256553004131032
0.3,10.0,1.5130518357087106
0.4,10.0,1.5529185652830704
0.5,10.0,1.5725212569057114
0.6,10.0,1.5896025936847804
0.7,10.0,1.5923280424367636
0.8,10.0,1.5929094249091182
0.9,10.0,1.5914600788122866
1.0,10.0,1.5946859361503132
1.1,10.0,1.5897826489349098
1.2,10.0,1.5835880772418782
1.3,10.0,1.5776831461481144
1.4,10.0,1.5785855794358203
1.5,10.0,1.5709633986473586
1.6,10.0,1.5636662662995842
1.7,10.0,1.5570150567598742
0.025,12.0,0.6354342872671119
0.05,12.0,0.9571879484069573
0.1,12.0,1.264918030288609
0.2,12.0,1.4792415351234196
0.3,12.0,1.5557764024808372
0.4,12.0,1.589328535767241
0.5,12.0,1.6045251142055832
0.6,12.0,1.6191405128715557
0.7,12.0,1.6213760050367592
0.8,12.0,1.6202531875131536
0.9,12.0,1.6157721856903298
1.0,12.0,1.61187254513251
1.1,12.0,1.6135023494123355
1.2,12.0,1.6065663187191221
0.025,14.0,0.7026699462967152
0.05,14.0,1.0329573712812168
0.1,14.0,1.3248908770485441
0.3,14.0,1.5887209416055836
0.4,14.0,1.6181826757700208
0.5,14.0,1.6302280031707514
0.6,14.0,1.6425296718748832
0.7,14.0,1.6419143177061066
0.8,14.0,1.6397668163100563
0.9,14.0,1.6358885542196744
1.0,14.0,1.6311839877899186
0.025,16.0,0.7650526303401729
0.05,16.0,1.0934787522833664
0.1,16.0,1.3723706301905643
0.2,16.0,1.5534752572704666
0.3,16.0,1.6131111816719967
0.4,16.0,1.6376745360006653
0.5,16.0,1.6552620167716372
0.6,16.0,1.658060534528941
0.7,16.0,1.6572132626429923
0.8,16.0,1.6539991931289397
