Freq_corte(Khz),IRB_mA,Av2,Av,Is_mA,IC_2E_mA
(19.838096568361074+0j),1.0,16.67,6,0.5,0.1
(26.378494170447187+0j),1.0,12.5,8,0.5,0.1
(32.92304533333361+0j),1.0,10.0,10,0.5,0.1
(39.35500754556917+0j),1.0,8.33,12,0.5,0.1
(48.1393254000037+0j),1.0,16.67,6,0.5,0.25
(63.27760017023096+0j),1.0,12.5,8,0.5,0.25
(77.84845538138691+0j),1.0,10.0,10,0.5,0.25
(91.46395988341021+0j),1.0,8.33,12,0.5,0.25
(89.89799381032641+0j),1.0,16.67,6,0.5,0.5
(114.81536214965999+0j),1.0,12.5,8,0.5,0.5
(136.4583136588583+0j),1.0,10.0,10,0.5,0.5
(154.43651755539855+0j),1.0,8.33,12,0.5,0.5
(153.99265260591005+0j),1.0,16.67,6,0.5,1.0
(185.67353246302253+0j),1.0,12.5,8,0.5,1.0
(208.92961308534913+0j),1.0,10.0,10,0.5,1.0
(225.16454167440227+0j),1.0,8.33,12,0.5,1.0
(201.83663636810337+0j),1.0,16.67,6,0.5,1.5
(232.4074256051963+0j),1.0,12.5,8,0.5,1.5
(251.9126636318523+0j),1.0,10.0,10,0.5,1.5
(263.02679918946757+0j),1.0,8.33,12,0.5,1.5
(236.45581565490482+0j),1.0,16.67,6,0.5,2.0
(263.78494170445583+0j),1.0,12.5,8,0.5,2.0
(278.612116862902+0j),1.0,10.0,10,0.5,2.0
(285.101826750314+0j),1.0,8.33,12,0.5,2.0
(263.02679918946757+0j),1.0,16.67,6,0.5,2.5
(285.9235978269735+0j),1.0,12.5,8,0.5,2.5
(295.9715725593663+0j),1.0,10.0,10,0.5,2.5
(297.68023509447505+0j),1.0,8.33,12,0.5,2.5
(282.65065746730073+0j),1.0,16.67,6,0.5,3.0
(301.1272097608273+0j),1.0,12.5,8,0.5,3.0
(307.25573652666105+0j),1.0,10.0,10,0.5,3.0
(306.37265489459475+0j),1.0,8.33,12,0.5,3.0
(298.538261891715+0j),1.0,16.67,6,0.5,3.5
(313.5089907800885+0j),1.0,12.5,8,0.5,3.5
(315.3188979354733+0j),1.0,10.0,10,0.5,3.5
(312.6079367123102+0j),1.0,8.33,12,0.5,3.5
(310.8135902738628+0j),1.0,16.67,6,0.5,4.0
(321.73625326947194+0j),1.0,12.5,8,0.5,4.0
(321.73625326947194+0j),1.0,10.0,10,0.5,4.0
(316.2277660167516+0j),1.0,8.33,12,0.5,4.0
(320.8115532822759+0j),1.0,16.67,6,0.5,4.5
(328.28421431645654+0j),1.0,12.5,8,0.5,4.5
(326.3998872038684+0j),1.0,10.0,10,0.5,4.5
(319.88951096905237+0j),1.0,8.33,12,0.5,4.5
(329.23045333331635+0j),1.0,16.67,6,0.5,5.0
(334.00271725694694+0j),1.0,12.5,8,0.5,5.0
(329.23045333331635+0j),1.0,10.0,10,0.5,5.0
(321.73625326947194+0j),1.0,8.33,12,0.5,5.0
(334.9654391577358+0j),1.0,16.67,6,0.5,5.5
(337.8702864441055+0j),1.0,12.5,8,0.5,5.5
(332.08556636038054+0j),1.0,10.0,10,0.5,5.5
(323.59365692953975+0j),1.0,8.33,12,0.5,5.5
(340.80032480027137+0j),1.0,16.67,6,0.5,6.0
(340.80032480027137+0j),1.0,12.5,8,0.5,6.0
(334.00271725694694+0j),1.0,10.0,10,0.5,6.0
(324.52637598955494+0j),1.0,8.33,12,0.5,6.0
(345.74029641814394+0j),1.0,16.67,6,0.5,6.5
(343.7557726852211+0j),1.0,12.5,8,0.5,6.5
(335.93093598642304+0j),1.0,10.0,10,0.5,6.5
(325.46178349795684+0j),1.0,8.33,12,0.5,6.5
(349.7437803663216+0j),1.0,16.67,6,0.5,7.0
(345.74029641814394+0j),1.0,12.5,8,0.5,7.0
(336.8992157413983+0j),1.0,10.0,10,0.5,7.0
(326.3998872038684+0j),1.0,8.33,12,0.5,7.0
(352.77678661877667+0j),1.0,16.67,6,0.5,7.5
(347.7362769316055+0j),1.0,12.5,8,0.5,7.5
(338.84415613910954+0j),1.0,10.0,10,0.5,7.5
(327.3406948787486+0j),1.0,8.33,12,0.5,7.5
(355.8360953459114+0j),1.0,16.67,6,0.5,8.0
(349.7437803663216+0j),1.0,12.5,8,0.5,8.0
(339.8208328941626+0j),1.0,10.0,10,0.5,8.0
(328.28421431645654+0j),1.0,8.33,12,0.5,8.0
(357.89035954263585+0j),1.0,16.67,6,0.5,8.5
(350.7518739524714+0j),1.0,12.5,8,0.5,8.5
(339.8208328941626+0j),1.0,10.0,10,0.5,8.5
(328.28421431645654+0j),1.0,8.33,12,0.5,8.5
(359.9564831359902+0j),1.0,16.67,6,0.5,9.0
(351.7628732448424+0j),1.0,12.5,8,0.5,9.0
(340.80032480027137+0j),1.0,10.0,10,0.5,9.0
(329.23045333331635+0j),1.0,8.33,12,0.5,9.0
(362.03453459101837+0j),1.0,16.67,6,0.5,9.5
(352.77678661877667+0j),1.0,12.5,8,0.5,9.5
(341.78263997176373+0j),1.0,10.0,10,0.5,9.5
(329.23045333331635+0j),1.0,8.33,12,0.5,9.5
(364.1245827680172+0j),1.0,16.67,6,0.5,10.0
(353.79362247375724+0j),1.0,12.5,8,0.5,10.0
(341.78263997176373+0j),1.0,10.0,10,0.5,10.0
(329.23045333331635+0j),1.0,8.33,12,0.5,10.0
