Ganho,I_mA,RE,RC,Av_real,RB,Is_mA,THD
6,0.1,1816.414072975335,30000.0,5.8811863659698815,144700.0,1.0,0.001171
8,0.1,1191.414072975335,30000.0,7.801550810568258,144700.0,1.0,0.001585
10,0.1,2033.263510954335,60000.0,9.792606565545723,144700.0,0.5,0.001806
12,0.1,1533.263510954335,60000.0,11.711528017489314,144700.0,0.5,0.002158
6,0.25,1816.414072975335,30000.0,5.8811863659698815,57880.0,1.0,0.001105
8,0.25,1191.414072975335,30000.0,7.801550810568258,57880.0,1.0,0.001484
10,0.25,2033.263510954335,60000.0,9.792606565545723,57880.0,0.5,0.001491
12,0.25,1533.263510954335,60000.0,11.711528017489314,57880.0,0.5,0.001857
6,0.5,1816.414072975335,30000.0,5.8811863659698815,28940.0,1.0,0.00097
8,0.5,1191.414072975335,30000.0,7.801550810568258,28940.0,1.0,0.001307
10,0.5,2033.263510954335,60000.0,9.792606565545723,28940.0,0.5,0.001145
12,0.5,1533.263510954335,60000.0,11.711528017489314,28940.0,0.5,0.001464
6,1.0,1816.414072975335,30000.0,5.8811863659698815,14470.0,1.0,0.000697
8,1.0,1191.414072975335,30000.0,7.801550810568258,14470.0,1.0,0.000954
10,1.0,2033.263510954335,60000.0,9.792606565545723,14470.0,0.5,0.00089
12,1.0,1533.263510954335,60000.0,11.711528017489314,14470.0,0.5,0.001186
6,1.5,1816.414072975335,30000.0,5.8811863659698815,9646.666666666666,1.0,0.00044
8,1.5,1191.414072975335,30000.0,7.801550810568258,9646.666666666666,1.0,0.000631
10,1.5,2033.263510954335,60000.0,9.792606565545723,9646.666666666666,0.5,0.001449
12,1.5,1533.263510954335,60000.0,11.711528017489314,9646.666666666666,0.5,0.001813
6,2.0,1816.414072975335,30000.0,5.8811863659698815,7235.0,1.0,0.000277
8,2.0,1191.414072975335,30000.0,7.801550810568258,7235.0,1.0,0.000445
10,2.0,2033.263510954335,60000.0,9.792606565545723,7235.0,0.5,0.002305
12,2.0,1533.263510954335,60000.0,11.711528017489314,7235.0,0.5,0.002811
6,2.5,1816.414072975335,30000.0,5.8811863659698815,5788.0,1.0,0.000389
8,2.5,1191.414072975335,30000.0,7.801550810568258,5788.0,1.0,0.000578
10,2.5,2033.263510954335,60000.0,9.792606565545723,5788.0,0.5,0.003241
12,2.5,1533.263510954335,60000.0,11.711528017489314,5788.0,0.5,0.003918
6,3.0,1816.414072975335,30000.0,5.8811863659698815,4823.333333333333,1.0,0.000656
8,3.0,1191.414072975335,30000.0,7.801550810568258,4823.333333333333,1.0,0.000912
10,3.0,2033.263510954335,60000.0,9.792606565545723,4823.333333333333,0.5,0.004212
12,3.0,1533.263510954335,60000.0,11.711528017489314,4823.333333333333,0.5,0.005073
6,3.5,1816.414072975335,30000.0,5.8811863659698815,4134.285714285715,1.0,0.000964
8,3.5,1191.414072975335,30000.0,7.801550810568258,4134.285714285715,1.0,0.00131
10,3.5,2033.263510954335,60000.0,9.792606565545723,4134.285714285715,0.5,0.005205
12,3.5,1533.263510954335,60000.0,11.711528017489314,4134.285714285715,0.5,0.006257
6,4.0,1816.414072975335,30000.0,5.8811863659698815,3617.5,1.0,0.001289
8,4.0,1191.414072975335,30000.0,7.801550810568258,3617.5,1.0,0.001736
10,4.0,2033.263510954335,60000.0,9.792606565545723,3617.5,0.5,0.006214
12,4.0,1533.263510954335,60000.0,11.711528017489314,3617.5,0.5,0.007462
6,4.500000000000001,1816.414072975335,30000.0,5.8811863659698815,3215.555555555555,1.0,0.001625
8,4.500000000000001,1191.414072975335,30000.0,7.801550810568258,3215.555555555555,1.0,0.00218
10,4.500000000000001,2033.263510954335,60000.0,9.792606565545723,3215.555555555555,0.5,0.007238
12,4.500000000000001,1533.263510954335,60000.0,11.711528017489314,3215.555555555555,0.5,0.008685
6,5.000000000000001,1816.414072975335,30000.0,5.8811863659698815,2893.9999999999995,1.0,0.001971
8,5.000000000000001,1191.414072975335,30000.0,7.801550810568258,2893.9999999999995,1.0,0.002637
10,5.000000000000001,2033.263510954335,60000.0,9.792606565545723,2893.9999999999995,0.5,0.008273
12,5.000000000000001,1533.263510954335,60000.0,11.711528017489314,2893.9999999999995,0.5,0.009923
6,5.5,1816.414072975335,30000.0,5.8811863659698815,2630.909090909091,1.0,0.002326
8,5.5,1191.414072975335,30000.0,7.801550810568258,2630.909090909091,1.0,0.003106
10,5.5,2033.263510954335,60000.0,9.792606565545723,2630.909090909091,0.5,0.00932
12,5.5,1533.263510954335,60000.0,11.711528017489314,2630.909090909091,0.5,0.011175
6,6.0,1816.414072975335,30000.0,5.8811863659698815,2411.6666666666665,1.0,0.002689
8,6.0,1191.414072975335,30000.0,7.801550810568258,2411.6666666666665,1.0,0.003586
10,6.0,2033.263510954335,60000.0,9.792606565545723,2411.6666666666665,0.5,0.010378
12,6.0,1533.263510954335,60000.0,11.711528017489314,2411.6666666666665,0.5,0.012441
6,6.500000000000001,1816.414072975335,30000.0,5.8811863659698815,2226.153846153846,1.0,0.003059
8,6.500000000000001,1191.414072975335,30000.0,7.801550810568258,2226.153846153846,1.0,0.004077
10,6.500000000000001,2033.263510954335,60000.0,9.792606565545723,2226.153846153846,0.5,0.011445
12,6.500000000000001,1533.263510954335,60000.0,11.711528017489314,2226.153846153846,0.5,0.013718
6,7.000000000000001,1816.414072975335,30000.0,5.8811863659698815,2067.142857142857,1.0,0.003437
8,7.000000000000001,1191.414072975335,30000.0,7.801550810568258,2067.142857142857,1.0,0.004579
10,7.000000000000001,2033.263510954335,60000.0,9.792606565545723,2067.142857142857,0.5,0.012522
12,7.000000000000001,1533.263510954335,60000.0,11.711528017489314,2067.142857142857,0.5,0.015007
6,7.5,1816.414072975335,30000.0,5.8811863659698815,1929.3333333333335,1.0,0.003823
8,7.5,1191.414072975335,30000.0,7.801550810568258,1929.3333333333335,1.0,0.005091
10,7.5,2033.263510954335,60000.0,9.792606565545723,1929.3333333333335,0.5,0.013609
12,7.5,1533.263510954335,60000.0,11.711528017489314,1929.3333333333335,0.5,0.016308
6,8.0,1816.414072975335,30000.0,5.8811863659698815,1808.75,1.0,0.004216
8,8.0,1191.414072975335,30000.0,7.801550810568258,1808.75,1.0,0.005612
10,8.0,2033.263510954335,60000.0,9.792606565545723,1808.75,0.5,0.014704
12,8.0,1533.263510954335,60000.0,11.711528017489314,1808.75,0.5,0.017619
6,8.5,1816.414072975335,30000.0,5.8811863659698815,1702.3529411764705,1.0,0.004617
8,8.5,1191.414072975335,30000.0,7.801550810568258,1702.3529411764705,1.0,0.006144
10,8.5,2033.263510954335,60000.0,9.792606565545723,1702.3529411764705,0.5,0.015807
12,8.5,1533.263510954335,60000.0,11.711528017489314,1702.3529411764705,0.5,0.01894
6,9.000000000000002,1816.414072975335,30000.0,5.8811863659698815,1607.7777777777776,1.0,0.005025
8,9.000000000000002,1191.414072975335,30000.0,7.801550810568258,1607.7777777777776,1.0,0.006686
10,9.000000000000002,2033.263510954335,60000.0,9.792606565545723,1607.7777777777776,0.5,0.016919
12,9.000000000000002,1533.263510954335,60000.0,11.711528017489314,1607.7777777777776,0.5,0.02027
6,9.500000000000002,1816.414072975335,30000.0,5.8811863659698815,1523.1578947368419,1.0,0.00544
8,9.500000000000002,1191.414072975335,30000.0,7.801550810568258,1523.1578947368419,1.0,0.007237
10,9.500000000000002,2033.263510954335,60000.0,9.792606565545723,1523.1578947368419,0.5,0.018038
12,9.500000000000002,1533.263510954335,60000.0,11.711528017489314,1523.1578947368419,0.5,0.021611
6,10.0,1816.414072975335,30000.0,5.8811863659698815,1447.0,1.0,0.005863
8,10.0,1191.414072975335,30000.0,7.801550810568258,1447.0,1.0,0.007798
10,10.0,2033.263510954335,60000.0,9.792606565545723,1447.0,0.5,0.019165
12,10.0,1533.263510954335,60000.0,11.711528017489314,1447.0,0.5,0.02296
