Freq_corte(Khz),R1_VBE
(269.9292823153568+0j),1500.0
(269.9292823153568+0j),2000.0
(269.1534803926192+0j),2500.0
(269.1534803926192+0j),3000.0
(269.1534803926192+0j),3500.0
(269.1534803926192+0j),4000.0
(269.1534803926192+0j),4500.0
(268.3799081969352+0j),5000.0
(268.3799081969352+0j),5500.0
(268.3799081969352+0j),6000.0
(268.3799081969352+0j),6500.0
(268.3799081969352+0j),7000.0
(267.6085593198613+0j),7500.0
(267.6085593198613+0j),8000.0
(267.6085593198613+0j),8500.0
(267.6085593198613+0j),9000.0
(267.6085593198613+0j),9500.0
(267.6085593198613+0j),10000.0
(266.83942737137255+0j),10500.0
(266.83942737137255+0j),11000.0
(266.83942737137255+0j),11500.0
(266.83942737137255+0j),12000.0
(266.83942737137255+0j),12500.0
(266.83942737137255+0j),13000.0
(266.83942737137255+0j),13500.0
(266.07250597980953+0j),14000.0
