Slew Rate (V/us),R1_VBE,IOUT
3.52221399156122,1500.0,2.0743
3.5184894170397416,2000.0,3.5255
3.5131129659385207,2500.0,5.0225
3.506764090937479,3000.0,6.5423
3.500100698683714,3500.0,8.0756
3.493259752666332,4000.0,9.6177
3.4860887276272767,4500.0,11.1658
3.478873642740059,5000.0,12.7184
3.47135685781989,5500.0,14.2743
3.4637607917252247,6000.0,15.8326
3.456032664866053,6500.0,17.3929
3.4481104262667563,7000.0,18.9548
3.439931403125435,7500.0,20.5178
3.4316942247203217,8000.0,22.0818
3.4232087909598663,8500.0,23.6465
3.414755258631134,9000.0,25.2118
3.406058826541173,9500.0,26.7775
3.397243120286927,10000.0,28.3435
3.388097561845712,10500.0,29.9097
3.378881647043261,11000.0,31.4761
3.3695401266716045,11500.0,33.0425
3.3599893756550627,12000.0,34.609
3.3500699827453007,12500.0,36.1753
3.340106571533044,13000.0,37.7416
3.330007008180965,13500.0,39.3077
3.3195934654675328,14000.0,40.8737
